folder,code_loc
aocs,353
ardupilot,215
arinc653_annex,252
arrays,84
bit_codec,121
building_control_gen_mixed,115
car,492
cpp,42
data,162
fcs,238
file-store,109
flight-mgmt,293
isr,58
latency,204
line_follower,43
lua,67
minepump,159
minepump_ba,159
mixin,86
monitor,85
mosart,72
nested_feature_groups,52
packet-store,126
pathfinder_system,205
periodicDispatch,71
ping_spark,101
pingpong,82
pingpong_timed,85
priority_test,82
producer-consumer,87
producer_consumer_ba,104
producer_filter_consumer_mixed,71
producer_filter_consumer_periodic,70
producer_filter_consumer_sporadic,68
radar,215
ravenscar,204
rma,67
rms,63
robotv1,153
robotv2,148
round_robin,54
rpc,99
satellite,347
stm32discovery_ada,36
sunseeker,116
test_data_port_periodic_domains,92
test_event_data_port_periodic_domains,92
test_event_port_periodic_domains,83
testdpmon,77
testdpmon-periodic,81
testepmon,77
testevent,68
testshare,85
testsubprogram,80
time_triggered,121
toy,133
wms,96
TOTAL,7200
